driverId,name,ssn,location,certified,wage-plan
10,Brett Walker,059-14-2161,"USNS Mendez
FPO AE 81708",N,hours
11,David Estes,748-42-6805,"071 Benton Greens Apt. 232
Emilytown, NY 99568",Y,miles
12,Stephanie Ramos,445-78-3785,"USNV Campbell
FPO AA 07342",N,hours
13,Karen Kelly,355-81-4944,"0915 Christine Crossroad Suite 501
East Ryan, NM 76173",N,hours
14,Lisa Hernandez,024-15-7859,"9760 Tanya Greens
North Matthew, NJ 55682",Y,hours
15,Tina Porter,502-48-2173,"30605 Lucas Port
East Sherriview, AZ 35455",Y,miles
16,William Young,633-89-0407,"76909 Donald Village
Wilsontown, GA 56316",N,hours
17,Bruce Lawrence,459-40-8945,"825 Hicks Glens
Jimenezshire, CA 15491",Y,miles
18,Sheri Reed,519-02-3809,"753 Jackson Cliff
South Walter, ME 17629",Y,miles
19,Joel Santiago,110-84-7747,"763 Kemp Crescent Apt. 525
West Cheryl, ND 21576",N,hours
20,Roy Alexander,612-95-5993,"1809 Seth Neck
North Ericburgh, IN 86310",N,hours
21,Paul Thomas,049-86-2839,"492 Jones Bypass
Johnchester, CA 89590",Y,hours
22,Stephanie Bush,519-41-9032,"02847 Bobby Walks Suite 946
Charlesport, SC 27852",N,miles
23,Bobby Alvarez,411-91-8995,"4424 Timothy Villages
North Matthewbury, UT 36056",Y,hours
24,Michael Sanchez,271-98-6939,"77503 Parks Lock
Greeneland, WY 16215",Y,miles
25,Lisa White,251-01-7935,"Unit 6769 Box 8789
DPO AP 59849",Y,hours
26,Angela Long,742-30-8752,"2038 Torres Shores Apt. 887
Kristenberg, ME 45118",Y,miles
27,Shawn Johnson,745-48-4248,"6423 Shari Corners Suite 202
Port Aaronborough, OH 09244",Y,miles
28,Connie Jackson,523-73-2460,"44048 Barbara Creek Apt. 663
Kristamouth, CA 56296",Y,hours
29,Theresa Byrd,343-86-1235,"677 Margaret Lake
Vickietown, AL 44850",N,hours
30,Jordan Bonilla,369-71-3429,"3423 Jimmy Road
Port Jacob, WA 99936",N,miles
31,Lisa Morgan,144-68-1107,"4685 Mendoza Locks
Maciasmouth, NJ 52347",Y,hours
32,Andrew Gilmore,676-27-5888,"86431 Erika Mountain Apt. 440
Roberthaven, NY 20647",N,hours
33,Joshua Walker,140-54-8087,"Unit 7246 Box 7372
DPO AA 46765",N,hours
34,Michael Day,460-82-2757,"352 Jennifer Islands Apt. 335
West Travis, NV 21370",N,hours
35,Brenda White,829-65-5086,"8156 Beltran Haven
Michaelbury, AR 87767",Y,miles
36,David Harvey,880-32-8793,"791 Miller Hill
Lake Williamfort, SC 78618",N,miles
37,Brenda Ward,174-06-1332,"8172 Rebecca Gardens
Miguelchester, AR 11000",Y,hours
38,Kenneth Small,024-84-6585,"4006 Brenda River
West Katherine, ME 54131",Y,hours
